source,key,date_added,en,sv,da,de,es,fr,is,it,no,pl,zh
reusable_ui,no_members,2026-03-05,"No members","Inga medlemmar","Ingen medlemmer","Keine Mitglieder","Sin miembros","Aucun membre","Engir meðlimir","Nessun membro","Ingen medlemmer","Brak członków",没有成员
reusable_ui,add_people,2026-03-05,"Add people","Lägg till personer","Tilføj personer","Personen hinzufügen","Añadir personas","Ajouter des personnes","Bæta við fólki","Aggiungi persone","Legg til personer","Dodaj osoby",添加成员
reusable_ui,no_matching_friends,2026-03-05,"No matching friends","Inga matchande vänner","Ingen matchende venner","Keine passenden Freunde","No hay amigos coincidentes","Aucun ami correspondant","Engir samsvarandi vinir","Nessun amico corrispondente","Ingen samsvarende venner","Brak pasujących znajomych",没有匹配的好友
reusable_ui,delete_chat,2026-03-05,"Delete chat","Ta bort chatt","Slet chat","Chat löschen","Eliminar chat","Supprimer la discussion","Eyða spjalli","Elimina chat","Slett chat","Usuń czat",删除聊天
reusable_ui,service_unavailable,2026-03-05,"Service unavailable","Tjänsten är inte tillgänglig","Tjenesten er utilgængelig","Dienst nicht verfügbar","Servicio no disponible","Service indisponible","Þjónusta ekki tiltæk","Servizio non disponibile","Tjenesten er utilgjengelig","Usługa niedostępna",服务不可用
reusable_ui,unexpected_response,2026-03-05,"Unexpected response","Oväntat svar","Uventet svar","Unerwartete Antwort","Respuesta inesperada","Réponse inattendue","Óvænt svar","Risposta imprevista","Uventet svar","Nieoczekiwana odpowiedź",意外响应
reusable_ui,delete_failed,2026-03-05,"Delete failed","Kunde inte ta bort","Sletning mislykkedes","Löschen fehlgeschlagen","Error al eliminar","Échec de la suppression","Eyðing mistókst","Eliminazione non riuscita","Sletting mislyktes","Usuwanie nie powiodło się",删除失败
reusable_ui,deleted_for_all,2026-03-05,"Deleted for all","Borttagen för alla","Slettet for alle","Für alle gelöscht","Eliminado para todos","Supprimé pour tous","Eytt fyrir alla","Eliminato per tutti","Slettet for alle","Usunięto dla wszystkich",已为所有人删除
reusable_ui,deleted_for_you,2026-03-05,"Deleted for you","Borttagen för dig","Slettet for dig","Für dich gelöscht","Eliminado para ti","Supprimé pour vous","Eytt fyrir þig","Eliminato per te","Slettet for deg","Usunięto dla Ciebie",已为你删除
reusable_ui,resume_chat,2026-03-05,"Resume chat","Återuppta chatt","Fortsæt chat","Chat fortsetzen","Reanudar chat","Reprendre la discussion","Halda áfram spjalli","Riprendi chat","Gjenoppta chat","Wznów czat",继续聊天
reusable_ui,pause_chat,2026-03-05,"Pause chat","Pausa chatt","Sæt chat på pause","Chat pausieren","Pausar chat","Mettre la discussion en pause","Gera hlé á spjalli","Metti in pausa chat","Sett chat på pause","Wstrzymaj czat",暂停聊天
reusable_ui,piano,2026-03-05,Piano,Piano,Klaver,Klavier,Piano,Piano,Píanó,Pianoforte,Piano,Fortepian,钢琴
reusable_ui,noise_suppression,2026-03-05,"Noise suppression",Brusreducering,Støjreduktion,Rauschunterdrückung,"Supresión de ruido","Réduction du bruit",Hljóðdeyfing,"Soppressione del rumore",Støydemping,"Redukcja szumów",降噪
reusable_ui,echo_cancellation,2026-03-05,"Echo cancellation",Ekoeliminering,Ekkoreduktion,Echounterdrückung,"Cancelación de eco","Suppression de l'écho",Bergmálsdeyfing,"Cancellazione eco",Ekkokansellering,"Redukcja echa",回声消除
reusable_ui,auto_gain,2026-03-05,"Auto gain control","Automatisk nivåkontroll","Automatisk gain-kontrol","Automatische Pegelregelung","Control automático de ganancia","Contrôle automatique du gain","Sjálfvirk hljóðstyring","Controllo automatico del guadagno","Automatisk nivåkontroll","Automatyczna regulacja wzmocnienia",自动增益控制
reusable_ui,enter_name,2026-03-05,"Enter name","Ange namn","Indtast navn","Namen eingeben","Introducir nombre","Saisir un nom","Sláðu inn nafn","Inserisci nome","Skriv inn navn","Wpisz nazwę",输入名称
reusable_ui,upload,2026-03-05,Upload,"Ladda upp",Upload,Hochladen,Subir,Téléverser,"Hlaða upp",Carica,"Last opp",Prześlij,上传
reusable_ui,discard,2026-03-05,Discard,Kassera,Kassér,Verwerfen,Descartar,Ignorer,Henda,Scarta,Forkast,Odrzuć,丢弃
reusable_ui,saving,2026-03-05,Saving,Sparar,Gemmer,Speichert,Guardando,Enregistrement,Vistar,Salvataggio,Lagrer,Zapisywanie,保存中
reusable_ui,saved,2026-03-05,Saved,Sparad,Gemt,Gespeichert,Guardado,Enregistré,Vistað,Salvato,Lagret,Zapisano,已保存
reusable_ui,update_failed,2026-03-05,"Update failed","Uppdatering misslyckades","Opdatering mislykkedes","Aktualisierung fehlgeschlagen","Error al actualizar","Échec de la mise à jour","Uppfærsla mistókst","Aggiornamento non riuscito","Oppdatering mislyktes","Aktualizacja nie powiodła się",更新失败
reusable_ui,choose_image_first,2026-03-05,"Choose an image first","Välj en bild först","Vælg først et billede","Wähle zuerst ein Bild","Elige primero una imagen","Choisissez d'abord une image","Veldu fyrst mynd","Scegli prima un'immagine","Velg først et bilde","Najpierw wybierz obraz",请先选择图片
reusable_ui,processing,2026-03-05,Processing,Bearbetar,Behandler,"Wird verarbeitet",Procesando,"Traitement en cours","Vinnur úr",Elaborazione,Behandler,Przetwarzanie,处理中
reusable_ui,uploading,2026-03-05,Uploading,"Laddar upp",Uploader,"Lädt hoch",Subiendo,"Téléversement en cours","Hleður upp",Caricamento,"Laster opp",Przesyłanie,上传中
reusable_ui,uploaded,2026-03-05,Uploaded,Uppladdad,Uploadet,Hochgeladen,Subido,Téléversé,"Hlaðið upp",Caricato,"Lastet opp",Przesłano,已上传
reusable_ui,preferences_hint,2026-03-05,"Local settings","Lokala inställningar","Lokale indstillinger","Lokale Einstellungen","Ajustes locales","Paramètres locaux","Staðbundnar stillingar","Impostazioni locali","Lokale innstillinger","Ustawienia lokalne",本地设置
reusable_ui,auto_saves,2026-03-05,Auto-saves,Autosparas,"Gemmes automatisk","Wird automatisch gespeichert","Guardado automático","Sauvegarde automatique","Vistast sjálfkrafa","Salvataggio automatico","Lagrer automatisk","Zapis automatyczny",自动保存
reusable_ui,find,2026-03-05,Find,Hitta,Find,Suchen,Buscar,Trouver,Finna,Trova,Finn,Znajdź,查找
reusable_ui,replace_with,2026-03-05,"Replace with","Ersätt med","Erstat med","Ersetzen durch","Reemplazar con","Remplacer par","Skipta út fyrir","Sostituisci con","Erstatt med","Zamień na",替换为
reusable_ui,find_next,2026-03-05,"Find next","Hitta nästa","Find næste","Nächste suchen","Buscar siguiente","Trouver le suivant","Finna næsta","Trova successivo","Finn neste","Znajdź następny",查找下一个
reusable_ui,replace,2026-03-05,Replace,Ersätt,Erstat,Ersetzen,Reemplazar,Remplacer,"Skipta út",Sostituisci,Erstatt,Zamień,替换
reusable_ui,replace_all,2026-03-05,"Replace all","Ersätt alla","Erstat alle","Alle ersetzen","Reemplazar todo","Tout remplacer","Skipta öllu út","Sostituisci tutto","Erstatt alle","Zamień wszystko",全部替换
reusable_ui,create,2026-03-05,Create,Skapa,Opret,Erstellen,Crear,Créer,"Búa til",Crea,Opprett,Utwórz,创建
reusable_ui,select_role,2026-03-05,"Select role","Välj roll","Vælg rolle","Rolle wählen","Seleccionar rol","Sélectionner un rôle","Veldu hlutverk","Seleziona ruolo","Velg rolle","Wybierz rolę",选择角色
reusable_ui,sidebar,2026-03-05,Sidebar,Sidofält,Sidepanel,Seitenleiste,"Barra lateral","Barre latérale",Hliðarspjald,"Barra laterale",Sidefelt,"Panel boczny",侧边栏
reusable_ui,music,2026-03-05,Music,Musik,Musik,Musik,Música,Musique,Tónlist,Musica,Musikk,Muzyka,音乐
reusable_ui,file_manager,2026-03-05,"File manager",Filhanterare,Filhåndtering,Dateimanager,"Gestor de archivos","Gestionnaire de fichiers",Skráastjóri,"Gestore file",Filbehandler,"Menedżer plików",文件管理器
reusable_ui,fullscreen,2026-03-05,Fullscreen,Helskärm,"Fuld skærm",Vollbild,"Pantalla completa","Plein écran",Skjáfylling,"Schermo intero",Fullskjerm,"Pełny ekran",全屏
reusable_ui,play_mode_owner,2026-03-05,"Play mode owner","Ägarens spelläge","Ejers afspilningstilstand","Wiedergabemodus des Besitzers","Modo de reproducción del propietario","Mode lecture du propriétaire","Spilunarhamur eiganda","Modalità di riproduzione del proprietario","Eierens avspillingsmodus","Tryb odtwarzania właściciela",所有者播放模式
reusable_ui,email_or_username,2026-03-05,"Email or Username","E-post eller användarnamn","E-mail eller brugernavn","E-Mail oder Benutzername","Correo o nombre de usuario","E-mail ou nom d'utilisateur","Netfang eða notandanafn","Email o nome utente","E-post eller brukernavn","E-mail lub nazwa użytkownika",电子邮件或用户名
reusable_ui,password,2026-03-05,Password,Lösenord,Adgangskode,Passwort,Contraseña,"Mot de passe",Lykilorð,Password,Passord,Hasło,密码
reusable_ui,stay_logged_in,2026-03-05,"Stay logged in","Håll mig inloggad","Forbliv logget ind","Angemeldet bleiben","Mantener la sesión iniciada","Rester connecté","Halda mér innskráðum","Resta connesso","Hold meg innlogget","Pozostań zalogowany",保持登录
reusable_ui,logout_other_devices,2026-03-05,"Logout from all other devices","Logga ut från alla andra enheter","Log ud fra alle andre enheder","Von allen anderen Geräten abmelden","Cerrar sesión en todos los demás dispositivos","Se déconnecter de tous les autres appareils","Skrá út á öllum öðrum tækjum","Disconnetti da tutti gli altri dispositivi","Logg ut fra alle andre enheter","Wyloguj się ze wszystkich innych urządzeń",从所有其他设备退出登录
reusable_ui,forgot_password,2026-03-05,"Forgot password","Glömt lösenord","Glemt adgangskode","Passwort vergessen","Olvidaste tu contraseña","Mot de passe oublié","Gleymt lykilorð","Password dimenticata","Glemt passord","Nie pamiętasz hasła",忘记密码
reusable_ui,active_sessions,2026-03-05,"Active sessions","Aktiva sessioner","Aktive sessioner","Aktive Sitzungen","Sesiones activas","Sessions actives","Virkar lotur","Sessioni attive","Aktive økter","Aktywne sesje",活动会话
reusable_ui,temporary,2026-03-05,Temporary,Tillfällig,Midlertidig,Temporär,Temporal,Temporaire,Tímabundið,Temporaneo,Midlertidig,Tymczasowy,临时
reusable_ui,remembered,2026-03-05,Remembered,Sparad,Gemt,Gemerkt,Recordado,Mémorisé,Munað,Memorizzato,Husket,Zapamiętane,已记住
reusable_ui,this_browser,2026-03-05,"This browser","Den här webbläsaren","Denne browser","Dieser Browser","Este navegador","Ce navigateur","Þessi vafri","Questo browser","Denne nettleseren","Ta przeglądarka",此浏览器
reusable_ui,expires,2026-03-05,Expires,Upphör,Udløber,"Läuft ab",Caduca,Expire,"Rennur út",Scade,Utløper,Wygasa,到期
reusable_ui,logout_selected,2026-03-05,"Logout selected","Logga ut markerade","Log ud valgte","Ausgewählte abmelden","Cerrar sesión seleccionados","Déconnecter la sélection","Skrá út valin","Disconnetti selezionati","Logg ut valgte","Wyloguj zaznaczone",退出所选
reusable_ui,logout_all_devices,2026-03-05,"Logout all devices","Logga ut alla enheter","Log ud fra alle enheder","Alle Geräte abmelden","Cerrar sesión en todos los dispositivos","Déconnecter tous les appareils","Skrá út á öllum tækjum","Disconnetti tutti i dispositivi","Logg ut alle enheter","Wyloguj wszystkie urządzenia",退出所有设备
reusable_ui,create_account,2026-03-05,"Create your account","Skapa ditt konto","Opret din konto","Erstelle dein Konto","Crea tu cuenta","Créez votre compte","Stofnaðu reikninginn þinn","Crea il tuo account","Opprett kontoen din","Utwórz konto",创建你的账户
reusable_ui,display_name,2026-03-05,"Display name",Visningsnamn,Visningsnavn,Anzeigename,"Nombre para mostrar","Nom affiché",Birtingarnafn,"Nome visualizzato",Visningsnavn,"Nazwa wyświetlana",显示名称
reusable_ui,email_address,2026-03-05,"Email address",E-postadress,E-mailadresse,E-Mail-Adresse,"Dirección de correo","Adresse e-mail",Netfang,"Indirizzo email",E-postadresse,"Adres e-mail",电子邮件地址
reusable_ui,register,2026-03-05,Register,"Registrera dig","Registrer dig",Registrieren,Registrarse,S'inscrire,"Skrá sig",Registrati,"Registrer deg","Zarejestruj się",注册
reusable_ui,reset_your_password,2026-03-05,"Reset your password","Återställ ditt lösenord","Nulstil din adgangskode","Setze dein Passwort zurück","Restablece tu contraseña","Réinitialisez votre mot de passe","Endurstilltu lykilorðið þitt","Reimposta la tua password","Tilbakestill passordet ditt","Zresetuj swoje hasło",重置你的密码
reusable_ui,enter_your_email,2026-03-05,"Enter your email","Ange din e-post","Indtast din e-mail","Gib deine E-Mail ein","Introduce tu correo","Saisissez votre e-mail","Sláðu inn netfangið þitt","Inserisci la tua email","Skriv inn e-posten din","Wpisz swój e-mail",输入你的电子邮件
reusable_ui,send_reset_link,2026-03-05,"Send reset link","Skicka återställningslänk","Send nulstillingslink","Link zum Zurücksetzen senden","Enviar enlace de restablecimiento","Envoyer le lien de réinitialisation","Senda endurstillingartengil","Invia link di reimpostazione","Send lenke for tilbakestilling","Wyślij link resetujący",发送重置链接
reusable_ui,sending_request,2026-03-05,"Sending request","Skickar begäran","Sender anmodning","Anfrage wird gesendet","Enviando solicitud","Envoi de la demande","Sendi beiðni","Invio richiesta","Sender forespørsel","Wysyłanie żądania",发送请求中
reusable_ui,invalid_email_address,2026-03-05,"Invalid email address","Ogiltig e-postadress","Ugyldig e-mailadresse","Ungültige E-Mail-Adresse","Dirección de correo no válida","Adresse e-mail invalide","Ógilt netfang","Indirizzo email non valido","Ugyldig e-postadresse","Nieprawidłowy adres e-mail",无效的电子邮件地址
reusable_ui,database_error_try_later,2026-03-05,"Database error. Please try again later.","Databasfel. Försök igen senare.","Databasefejl. Prøv igen senere.","Datenbankfehler. Bitte versuche es später erneut.","Error de base de datos. Inténtalo más tarde.","Erreur de base de données. Veuillez réessayer plus tard.","Gagnagrunnsvilla. Reyndu aftur síðar.","Errore del database. Riprova più tardi.","Databasefeil. Prøv igjen senere.","Błąd bazy danych. Spróbuj ponownie później.",数据库错误。请稍后再试。
reusable_ui,reset_password,2026-03-05,"Reset password","Återställ lösenord","Nulstil adgangskode","Passwort zurücksetzen","Restablecer contraseña","Réinitialiser le mot de passe","Endurstilla lykilorð","Reimposta password","Tilbakestill passord","Zresetuj hasło",重置密码
reusable_ui,new_password,2026-03-05,"New password","Nytt lösenord","Ny adgangskode","Neues Passwort","Nueva contraseña","Nouveau mot de passe","Nýtt lykilorð","Nuova password","Nytt passord","Nowe hasło",新密码
reusable_ui,share_group,2026-03-05,"Share group","Dela grupp","Del gruppe","Gruppe teilen","Compartir grupo","Partager le groupe","Deila hópi","Condividi gruppo","Del gruppe","Udostępnij grupę",分享群组
reusable_ui,import_files,2026-03-05,"Import: this device","Importera: den här enheten","Importer: denne enhed","Import: dieses Gerät","Importar: este dispositivo","Importer : cet appareil","Flytja inn: þetta tæki","Importa: questo dispositivo","Importer: denne enheten","Importuj: to urządzenie",导入：此设备
reusable_ui,import_textwhisper,2026-03-05,"Import: Text Whisper","Importera: Text Whisper","Importer: Text Whisper","Import: Text Whisper","Importar: Text Whisper","Importer : Text Whisper","Flytja inn: Text Whisper","Importa: Text Whisper","Importer: Text Whisper","Importuj: Text Whisper",导入：Text Whisper
reusable_ui,import_dropbox_files,2026-03-05,"Import: Dropbox","Importera: Dropbox","Importer: Dropbox","Import: Dropbox","Importar: Dropbox","Importer : Dropbox","Flytja inn: Dropbox","Importa: Dropbox","Importer: Dropbox","Importuj: Dropbox",导入：Dropbox
reusable_ui,import_google_drive,2026-03-05,"Import: Google Drive","Importera: Google Drive","Importer: Google Drive","Import: Google Drive","Importar: Google Drive","Importer : Google Drive","Flytja inn: Google Drive","Importa: Google Drive","Importer: Google Drive","Importuj: Google Drive",导入：Google Drive
reusable_ui,import_onedrive,2026-03-05,"Import: OneDrive","Importera: OneDrive","Importer: OneDrive","Import: OneDrive","Importar: OneDrive","Importer : OneDrive","Flytja inn: OneDrive","Importa: OneDrive","Importer: OneDrive","Importuj: OneDrive",导入：OneDrive
reusable_ui,import_icloud,2026-03-05,"Import: iCloud","Importera: iCloud","Importer: iCloud","Import: iCloud","Importar: iCloud","Importer : iCloud","Flytja inn: iCloud","Importa: iCloud","Importer: iCloud","Importuj: iCloud",导入：iCloud
reusable_ui,open_sidebar,2026-03-05,"Open sidebar","Öppna sidofält","Åbn sidepanel","Seitenleiste öffnen","Abrir barra lateral","Ouvrir la barre latérale","Opna hliðarspjald","Apri barra laterale","Åpne sidefelt","Otwórz panel boczny",打开侧边栏
reusable_ui,import,2026-03-05,Import,Importera,Importer,Importieren,Importar,Importer,"Flytja inn",Importa,Importer,Importuj,导入
reusable_ui,import_from_device,2026-03-05,"This device","Den här enheten","Denne enhed","Dieses Gerät","Este dispositivo","Cet appareil","Þetta tæki","Questo dispositivo","Denne enheten","To urządzenie",此设备
reusable_ui,reload_page,2026-03-13,"Reload page","Ladda om sidan","Genindlæs siden","Seite neu laden","Recargar la página","Recharger la page","Endurhlaða síðu","Ricarica la pagina","Last inn siden på nytt","Przeładuj stronę",重新加载页面
reusable_ui,fit_page,2026-03-13,"Fit page","Anpassa sida","Tilpas side","Seite anpassen","Ajustar página","Ajuster la page","Laga að síðu","Adatta pagina","Tilpass side","Dopasuj stronę",适合页面
reusable_ui,width,2026-03-13,Width,Bredd,Bredde,Breite,Ancho,Largeur,Breidd,Larghezza,Bredde,Szerokość,宽度
reusable_ui,height,2026-03-13,Height,Höjd,Højde,Höhe,Alto,Hauteur,Hæð,Altezza,Høyde,Wysokość,高度
reusable_ui,auto,2026-03-13,Auto,Auto,Auto,Auto,Auto,Auto,Sjálfvirkt,Auto,Auto,Auto,自动
reusable_ui,open_piano,2026-03-13,"Open piano","Öppna piano","Åbn klaver","Klavier öffnen","Abrir piano","Ouvrir le piano","Opna píanó","Apri pianoforte","Åpne piano","Otwórz pianino",打开钢琴
reusable_ui,close_fullscreen,2026-03-13,"Close fullscreen","Stäng helskärm","Luk fuldskærm","Vollbild schließen","Cerrar pantalla completa","Fermer le plein écran","Loka heilskjá","Chiudi schermo intero","Lukk fullskjerm","Zamknij pełny ekran",关闭全屏
reusable_ui,swipe_to_turn_page,2026-03-13,"Swipe to turn page","Svep för att byta sida","Stryg for at skifte side","Wischen, um die Seite zu wechseln","Desliza para pasar de página","Glissez pour tourner la page","Strjúktu til að fletta síðu","Scorri per cambiare pagina","Sveip for å bla om side","Przesuń, aby zmienić stronę",滑动翻页
reusable_ui,end,2026-03-13,End,Slut,Slut,Ende,Fin,Fin,Lok,Fine,Slutt,Koniec,结束
reusable_ui,next,2026-03-13,Next,Nästa,Næste,Weiter,Siguiente,Suivant,Næsta,Avanti,Neste,Dalej,下一个
reusable_ui,corner_paging,2026-03-13,"Corner paging","Hörnbläddring","Hjørnebladning","Eckenblättern","Paginación desde la esquina","Changement de page par coin","Hornflakk","Cambio pagina dall'angolo","Hjørneblading","Zmiana strony z rogu",角落翻页
reusable_ui,tap_next,2026-03-13,"Tap: next","Tryck: nästa","Tryk: næste","Tippen: weiter","Toca: siguiente","Appuyez : suivant","Pikka: næsta","Tocca: avanti","Trykk: neste","Dotknij: dalej",轻点：下一页
reusable_ui,swipe_away_from_corner_next,2026-03-13,"Swipe away from corner: next","Svep bort från hörnet: nästa","Stryg væk fra hjørnet: næste","Vom Eck weg wischen: weiter","Desliza alejándote de la esquina: siguiente","Glissez loin du coin : suivant","Strjúktu frá horninu: næsta","Scorri lontano dall'angolo: avanti","Sveip bort fra hjørnet: neste","Przesuń od rogu: dalej",从角落向外滑动：下一页
reusable_ui,swipe_into_corner_previous,2026-03-13,"Swipe into corner: previous","Svep in i hörnet: föregående","Stryg ind i hjørnet: forrige","In die Ecke wischen: zurück","Desliza hacia la esquina: anterior","Glissez vers le coin : précédent","Strjúktu inn í hornið: fyrri","Scorri verso l'angolo: precedente","Sveip inn i hjørnet: forrige","Przesuń w róg: poprzednia",滑向角落：上一页
reusable_ui,paged_view,2026-03-13,"Paged View","Sidvy","Sidevisning","Seitenansicht","Vista por páginas","Vue page par page","Síðuskipt sýn","Vista a pagine","Sidevisning","Widok stronicowany",分页视图
reusable_ui,continuous_view,2026-03-13,"Continuous View","Kontinuerlig vy","Kontinuerlig visning","Fortlaufende Ansicht","Vista continua","Vue continue","Samfelld sýn","Vista continua","Kontinuerlig visning","Widok ciągły",连续视图
reusable_ui,buttons_inactive,2026-03-13,"Buttons inactive","Knappar inaktiva","Knapper inaktive","Schaltflächen inaktiv","Botones inactivos","Boutons inactifs","Hnappar óvirkir","Pulsanti inattivi","Knapper inaktive","Przyciski nieaktywne",按钮不激活
reusable_ui,left_handed,2026-03-13,"Left handed","Vänsterhänt","Venstrehåndet","Linkshändig","Zurdo","Gaucher","Örvhentur","Mancino","Venstrehendt","Leworęczny",左手模式
reusable_ui,left_and_right,2026-03-13,"Left & Right","Vänster och höger","Venstre og højre","Links und rechts","Izquierda y derecha","Gauche et droite","Vinstri og hægri","Sinistra e destra","Venstre og høyre","Lewa i prawa",左右两侧
reusable_ui,pause_play_sync,2026-03-13,"Pause play sync","Pausa uppspelningssynk","Sæt afspilningssynk på pause","Wiedergabe-Sync pausieren","Pausar sincronización de reproducción","Mettre en pause la synchro de lecture","Setja spilunarsamstillingu á pásu","Metti in pausa la sincronizzazione di riproduzione","Sett avspillingssynk på pause","Wstrzymaj synchronizację odtwarzania",暂停播放同步
reusable_ui,resume_play_sync,2026-03-13,"Resume play sync","Återuppta uppspelningssynk","Genoptag afspilningssynk","Wiedergabe-Sync fortsetzen","Reanudar sincronización de reproducción","Reprendre la synchro de lecture","Halda áfram spilunarsamstillingu","Riprendi la sincronizzazione di riproduzione","Gjenoppta avspillingssynk","Wznów synchronizację odtwarzania",恢复播放同步
reusable_ui,play_sync_paused,2026-03-13,"Play sync paused","Uppspelningssynk pausad","Afspilningssynk sat på pause","Wiedergabe-Sync pausiert","Sincronización de reproducción en pausa","Synchro de lecture en pause","Spilunarsamstilling í pásu","Sincronizzazione di riproduzione in pausa","Avspillingssynk satt på pause","Synchronizacja odtwarzania wstrzymana",播放同步已暂停
reusable_ui,play_sync_active,2026-03-13,"Play sync active","Uppspelningssynk aktiv","Afspilningssynk aktiv","Wiedergabe-Sync aktiv","Sincronización de reproducción activa","Synchro de lecture active","Spilunarsamstilling virk","Sincronizzazione di riproduzione attiva","Avspillingssynk aktiv","Synchronizacja odtwarzania aktywna",播放同步进行中
reusable_ui,play_sync_resumed,2026-03-13,"Play sync resumed","Uppspelningssynk återupptagen","Afspilningssynk genoptaget","Wiedergabe-Sync fortgesetzt","Sincronización de reproducción reanudada","Synchro de lecture reprise","Spilunarsamstilling hafin aftur","Sincronizzazione di riproduzione ripresa","Avspillingssynk gjenopptatt","Synchronizacja odtwarzania wznowiona",播放同步已恢复
reusable_ui,saving_cleared_annotations,2026-03-13,"Saving cleared annotations...","Sparar rensade anteckningar...","Gemmer rydede annotationer...","Gelöschte Anmerkungen werden gespeichert...","Guardando anotaciones borradas...","Enregistrement des annotations effacées...","Vista hreinsaðar athugasemdir...","Salvataggio delle annotazioni cancellate...","Lagrer slettede annotasjoner...","Zapisywanie usuniętych adnotacji...",正在保存已清除的批注...
reusable_ui,ipad_install_help_kicker,2026-03-13,"Install on iPad","Installera på iPad","Installer på iPad","Auf dem iPad installieren","Instalar en iPad","Installer sur iPad","Setja upp á iPad","Installa su iPad","Installer på iPad","Zainstaluj na iPadzie",在 iPad 上安装
reusable_ui,ipad_install_help_intro,2026-03-13,"Safari on iPad does not show a normal install prompt. Use these steps:","Safari på iPad visar inte en vanlig installationsruta. Gör så här:","Safari på iPad viser ikke en normal installationsprompt. Brug disse trin:","Safari auf dem iPad zeigt keinen normalen Installationsdialog. Nutze diese Schritte:","Safari en iPad no muestra un aviso normal de instalación. Usa estos pasos:","Safari sur iPad n’affiche pas de demande d’installation normale. Suivez ces étapes :","Safari á iPad sýnir ekki venjulega uppsetningarbeiðni. Notaðu þessi skref:","Safari su iPad non mostra un normale prompt di installazione. Usa questi passaggi:","Safari på iPad viser ikke vanlig installasjonsdialog. Bruk disse trinnene:","Safari na iPadzie nie pokazuje zwykłego monitu instalacji. Użyj tych kroków:",iPad 上的 Safari 不会显示普通安装提示。请按以下步骤操作：
reusable_ui,ipad_install_step_share,2026-03-13,"Tap the Share button in Safari.","Tryck på Dela-knappen i Safari.","Tryk på Del-knappen i Safari.","Tippe in Safari auf die Teilen-Taste.","Toca el botón Compartir en Safari.","Touchez le bouton Partager dans Safari.","Pikkaðu á Deila-hnappinn í Safari.","Tocca il pulsante Condividi in Safari.","Trykk på Del-knappen i Safari.","Dotknij przycisku Udostępnij w Safari.",在 Safari 中轻点“共享”按钮。
reusable_ui,ipad_install_step_add,2026-03-13,"Scroll down, choose 'Add to Home Screen', then tap Add.","Scrolla ned, välj 'Lägg till på hemskärmen' och tryck sedan på Lägg till.","Rul ned, vælg 'Føj til hjemmeskærm', og tryk derefter på Tilføj.","Scrolle nach unten, wähle 'Zum Home-Bildschirm' und tippe dann auf Hinzufügen.","Desplázate hacia abajo, elige 'Añadir a pantalla de inicio' y luego toca Añadir.","Faites défiler vers le bas, choisissez 'Sur l’écran d’accueil', puis touchez Ajouter.","Skrunaðu niður, veldu 'Bæta á heimaskjá' og pikkaðu síðan á Bæta við.","Scorri verso il basso, scegli 'Aggiungi a Home' e poi tocca Aggiungi.","Rull ned, velg 'Legg til på Hjem-skjerm', og trykk deretter på Legg til.","Przewiń w dół, wybierz 'Dodaj do ekranu początkowego', a potem stuknij Dodaj.",向下滚动，选择“添加到主屏幕”，然后轻点“添加”。
reusable_ui,add_to_home_screen,2026-03-13,"Add to Home Screen","Lägg till på hemskärmen","Føj til hjemmeskærm","Zum Home-Bildschirm","Añadir a pantalla de inicio","Ajouter à l’écran d’accueil","Bæta á heimaskjá","Aggiungi a Home","Legg til på Hjem-skjerm","Dodaj do ekranu początkowego",添加到主屏幕
reusable_ui,practice,2026-03-14,"Practice","Övning","Øvning","Üben","Práctica","Répétition","Æfing","Pratica","Øving","Ćwiczenie",练习
reusable_ui,rehearsal_markers,2026-03-14,"Markers","Markörer","Markører","Markierungen","Marcadores","Marqueurs","Staðmerki","Marcatori","Markører","Znaczniki",标记
reusable_ui,selected_marker_layer,2026-03-14,"Selected marker layer","Valt markörlager","Valgt markørlag","Ausgewählte Markierungsebene","Capa de marcadores seleccionada","Calque de marqueurs sélectionné","Valið staðmerkjalag","Livello marker selezionato","Valgt markørlag","Wybrana warstwa znaczników",已选标记层
reusable_ui,marker_panel_copy,2026-03-14,"Store markers for repeats and quick return points in scores.","Spara markörer för repetitioner och snabba återgångspunkter i noter.","Gem markører til gentagelser og hurtige returpunkter i noder.","Speichere Marken für Wiederholungen und schnelle Rückkehrpunkte in Noten.","Guarda marcadores para repeticiones y puntos de retorno rápido en partituras.","Enregistrez des marqueurs pour les reprises et les points de retour rapide dans les partitions.","Vistið staðmerki fyrir endurtekningar og sem flýtileiðir að staðsetningum.","Salva marcatori per ripetizioni e punti di ritorno rapido negli spartiti.","Lagre markører for repetisjoner og raske returpunkter i noter.","Zapisz znaczniki powtórek i szybkich powrotów w nutach.",在乐谱中保存重复和快速返回位置的标记。
reusable_ui,annotate,2026-03-14,"Annotations","Annoteringar","Annotationer","Anmerkungen","Anotaciones","Annotations","Athugasemdir","Annotazioni","Annotasjoner","Adnotacje",批注
reusable_ui,markers,2026-03-14,"Markers","Markörer","Markører","Markierungen","Marcadores","Marqueurs","Staðmerki","Marcatori","Markører","Znaczniki",标记
reusable_ui,mark,2026-03-14,"Mark:","Markera:","Markér:","Markieren:","Marcar:","Marquer :","Merkja:","Segna:","Marker:","Oznacz:",标记：
reusable_ui,create_on,2026-03-14,"Create on:","Skapa på:","Opret på:","Erstellen auf:","Crear en:","Créer sur :","Búa til á:","Crea su:","Opprett på:","Utwórz na:",创建于：
